L2L         ,2L,2L-140-SABD,7.04189E+12,KARLSEN  ENSEMBLE 96  LJONES,DANIEL-LESUR  DYRUD  HAVORY,SO IS MY LOVE,BLU-RAY AUDIO + SACD,2,27.29,41.99,2017,"""So is my love"" is about love and the beloved, and this includes the sense of love awakened in us by religious faith and by nature. In works by Dyrud, Odegaard, Havrøy, Daniel-Lesur and Stockhausen the countless facets of love are painted in music and words: we encounter passion, lust, prayer and longing, but we also find humour, playfulness and joy. The two previous albums produced by 2L with Ensemble 96 were honored by The Recording academy with nominations to the GRAMMY Award in both technical craft and performance categories. The chamber choir Ensemble 96, which consists of 24 highly qualified singers, is one of Norway’s leading vocal ensembles, and has gained its reputation through many critically acclaimed concerts, premieres, and recordings. It has a particular focus on contemporary music and seeks to expand the traditional choir concert by means of collaborations with other artists, including dancers, actors, and visual artists. The ensemble often presents a mix of contemporary music and classical songs. The musical director and conductor is Nina Therese Karlsen, who holds an MA in Choir Conducting from the Norwegian Academy of Music."
ROU         ,ROUNDER - CONCORD,1166100275,8.88072E+11,Gregg Allman,_,Southern Blood (Deluxe CD/DVD),COMPACT DISC + DVD,2,19.49,29.99,2017,"Rounder will be releasing the final studio album from rock and roll legend, Gregg Allman. The album has been a long time in the making and represents the culmination of one of the most prolific careers in classic rock history. Produced by Don Was and recorded in Muscle Shoals, AL at the renowned Fame Studios, this record reaches back to the sound and recording techniques that first inspired the early Allman Brothers records. With contributions from Gregg’s friends and compatriots, including The McCrary Sisters, Buddy Miller, and Jackson Browne, Southern Blood is a true testament to a legendary career.1. My Only True Friend (6:16)2. Once I Was (3:56)3. Going Going Gone (4:29)4. Black Muddy River (4:37)5. I Love the Life I Live (3:31)6. Willin' (3:36)7. Blind Bats and Swamp Rats (4:32)8. Out of Left Field (4:09)9. Love Like Kerosene (4:17)10. Song for Adam featuring Jackson Browne (6:21)Deluxe Edition Bonus Tracks:11. I Love The Life I Live (LIVE from The Clay Center, Charleston, West Virginia, May 6, 2016)12. Love Like Kerosene (LIVE from The Tower Theatre, Philadelphia, Pennsylvania, April 1, 2016)2-disc (1 CD & 1 DVD), 6-panel softpak, fold-out poster in place of booklet"
SAV         ,"SAYDISC,AMON RA,VILLAGE-NIMBUS",SDL445,5.01313E+12,"Davies, Timothy; Wynn, Dellith; Laycock, Tim; Not Applicable, na; Skeaping, Lucie; Burnett, Richard; Lucena, Gef; Mellstock Band, The; Duddridge, Peter; Williams, Kenneth; Broadside Band, The; Mellstock Choir, The; Sneak's Noyse; Blake, Dorothy; Turner, Andy; Ellis, Vivien","Adams, Stephen; Anonymous; Barlow, Jeremy; Bayley, T.H.; Bellini, Vincenzo; Bishop, Henry; Broadwood, Lucy; Carroll, Lewis; Caryll, Ivan; Clementi, Muzio; Farmer, Edward; Ghyss, Henry; Handel, George Frideric; Hayes, J. Milton; Jones, Sidney; Kerker, Gustave A.; Ketterer, Eugene; Kilvert, Robert Francis; Lear, Edward; Lucena, Gef; Lumbye, Hans Christian; Mason, Lowell; Mendelssohn, Felix; Meyerbeer, Giacomo; Missler; Monckton, Lionel; Monk, William Henry; Not Applicable, na; Planquette, Robert; Prizeman, Ro","Victoriana: Music, Verse and Recollections from the Time of Queen Victoria",COMPACT DISC,2,14.81,22.99,2017,"This new release features music, verse and recollections from the time of Queen Victoria from Kenneth Williams, Miss Dorothy Blake’s personal account of life with the Queen at Osborne House, The Broadside Band, Richard Burnett & many more with a detailed 32 page booklet with numerous quotations from Queen Victoria’s journals, Mendelssohn letter and other historical background information. Queen Victoria’s love and appreciation of the arts was shared by Prince Albert who was also a talented player on piano and organ and a fine singer and composer. In fact it was this shared love of music that was the initial attraction, with the Queen saying “… he sang to me some of his own compositions, which are beautiful, and he has a very fine voice. I also sang for him.” They enjoyed playing piano duets together and accompanying as the other sang and they would take their sheet music with them on all their travels."
SEA4        ,SEAMUS - NEW FOCUS RECORDINGS,EAM2017,7.47566E+11,"Brown, Becky; Zone Expérimentale; Vidiksis, Adam; SPLICE Ensemble; Durant, David Z.; Lamneck, Esther; Kirchoff, Keith; Oseth, Olga; BEEP; Wyatt, Scott A.; Whiting, Benjamin D.; Fieldsteel, Eli","Brown, Becky; Dougherty, William; Durant, David Z.; Fieldsteel, Eli; Kirchoff, Keith; Oseth, Olga; Vidiksis, Adam; Whiting, Benjamin D.; Wyatt, Scott A.",Music from SEAMUS 26,COMPACT DISC,1,13.25,20.99,2017,"Seamus Records continues its series celebrating the best in contemporary electronic and electro-acoustic music with Volume 26, a compilation assembled in 2017 of recent works by its composer members. Scott Wyatt’s “…and nature is alone” memorializes the Chernobyl nuclear power station disaster in 1986. Elena Filatova, who wrote the text, and ValerieSobol, who performs the text, both have personal connections to Chernobyl and their inclusion intensifies the cathartic nature of the work. Eli Fieldsteel’s work includes extensive investigation into music generated by microcontrollers. Using motion-sensitive resistors and sensor gloves in collaboration with the open source platform Arduino, Fieldsteel fashions a musical vocabulary that corresponds to his arsenal of physical gestures. ‘Brain Candy’ is the fruit of those efforts. Pianist and composer Keith Kirchoff’s ‘Irrational Rationalities’ is inspired by the work of cubist painter Alvin Loving. Loving’s paintings use tricks of the eye to embed visual contraditions within seemingly simple elements. Kirchoff strives to achieve a similar sleight of hand in music, combining three distinct thematic ideas in such a way that they are taken out of context and challenge a passive listening experience. Becky Brown’s ‘Hold Still’ is a multi-disciplinary work combining poetry, drawings, video, and electronics processing. Benjamin D. Whiting’s ‘Illumina! Arabidopsis thaliana’ represents an ongoing collaboration between genomic biologist Aleel K Grennan and the composer. Other works on the album include pieces by Adam Vidiksis, Olga Oseth, David Z. Durant, and William Dougherty."
SIG         ,SIGNUM,SIGCD479,6.35212E+11,"Tassell, Greg; Dennis, Eleanor; Cunningham, Bridget; Bevan, Benjamin; Bessent, Claire; MacDougall, Charles; London Early Opera; Spence, Nicky; Bevan, Mary","Anonymous; Boyce, William; Gladwin, Thomas; Handel, George Frideric; Hasse, Johann Adolf; Lampe, John Friedrich; Lockman, John; Milton, John; Stanley, John","Handel At Vauxhall, Vol. 2",COMPACT DISC,1,14.03,21.99,2017,"London Early Opera continue their programme themed around a typical evening’s entertainment at the 17th & 18th century Vauxhall Pleasure Gardens, with a second collection of works by George Frideric Handel and contemporary composers of the day (John Stanley, Thomas Gladwin, John Lampe and Johann Adolph Hasse). Featuring performances by soloists Claire Bessant, Mary Bevan, Benjamin Bevan, Eleanor Dennis, Charles MacDougale, Nicky Spence and Greg Tassell, the programme evokes the carnival of music and entertainments that amused visitors in these London gardens for nearly 200 years. The booklet notes feature images and expert commentaries on the Vauxhall Gardens by author David E. Coke and as well as conductor and musicologist Bridget Cunningham."
SIG         ,SIGNUM,SIGCD497,6.35212E+11,The King's Singers; National Youth Choir of Great Britain,"Anonymous; Bible; Byrd, William; Chesterton, G.K.; Chilcott, Bob; Harvey, Frederick William; Howells, Herbert; Keating, Geoffrey; Knight, Peter; Langford, Gordon; Lassus, Orlande de; L'Estrange, Alexander; Luna, Felix; Pierpont, James Lord; Poulenc, Francis; Praetorius, Michael; Ramirez, Ariel; Robert Wells; Smith, Clive; St. Richard of Chichester; Sweelinck, Jan Pieterszoon; Tormé, Mel; Traditional","Christmas Presence: The King's Singers, Live from Kings College Chapel, Cambridge",COMPACT DISC,1,14.03,21.99,2017,"The essence of The King’s Singers has always been live performance. Commercial recordings are hugely important as a way of disseminating their material, and the group has always been committed to a comprehensive recording programme. The best of both worlds is represented on this album: a live concert recording. Christmas Presence gives the listener the experience of being at a live King’s Singers concert, in one of the world’s most beautiful buildings from the comfort of their own home. you can be assured that there is nothing here other than what was produced on the night itself; and what better a season to celebrate with music than Christmas? The programme for this special concert takes the listener through various ages and styles of music, from the Renaissance to the present day, and it would make the perfect accompaniment to your Christmas morning- beginning with the sacred music that celebrates the birth of Jesus, move through more modern carols familiar from church and cathedral services across the nation, and ending with the musical trimmings that your roast turkey deserves."
SIG         ,SIGNUM,SIGCD512,6.35212E+11,"Kuhrmann, Gretchen; Cantus Primo Youth Choir; Angelis Boehler, Julie; Shaffran, James; Fickley, Todd; Choralis; Hays, Marian Rian; Classical Brass Quintet, The","Anonymous; Bennett, Charles; Chilcott, Bob; Crossley-Holland, Kevin",In Winter's Arms,COMPACT DISC,1,14.03,21.99,2017,"Bob Chilcott’s compositions are beloved with choral societies around the world, and this album represents the fruits of his recent collaborations with the US choir Choralis and their conductor Gretchen Kuhrmann. Featuring festive works for solo choir as well as choir and brass ensemble, at the centre of the programme is 'Wenceslas', inspired by the legend of the Bohemian King who braved the winter weather with his Page to save the life of a poor peasant, and incorporating the melody of the famous carol into each of its 8 movements. The release also includes the premiere recordings of Chilcott’s 'Gloria', which was premiered by the choir to great critical acclaim in 2015."
SMX         ,SIMAX CLASSICS,PSC1356,7.03366E+12,"Bilsbak, Håvard; Kraggerud, Henning; Kawami, Yuko; Schulerud, Brynjar Lien; Schulerud Bilsbak, Heidi; Johannessen, Knut; Arctic Philharmonic Orchestra","Kraggerud, Henning; Vivaldi, Antonio",Between the Seasons,COMPACT DISC,1,14.81,22.99,2017,"Henning Kraggerud brings The Seasons from the top of the world. This is as fresh and bold a performance of Vivaldi's Seasons as you could wish for. The Seasons as experienced in the North is something quite different from what we find in any other part of the world. 'Extreme' is the key word when Kraggerud brings us The Seasons together with his Arctic Philharmonic Chamber Orchestra – as if directly out of the arctic nature: wind, snow, cold, rainfall, thaw and heat… Kraggerud is as relentless as nature itself here. And between the Seasons we find the premiere recordings of Kraggerud's own works, originally premiered by such artists as The Brodsky Quartet and Britten Sinfonia. Both in complement and contrast to Vivaldi’s moods – positioned as they are between the seasons – Kraggerud's works take a special position. The pieces evoke different connotations and new angles through which the listener experiences the world’s most popular classical work."
SIX         ,SIX DEGREES - UNIVERSAL,6570361274,6.57036E+11,LADAMA,,LADAMA,COMPACT DISC,1,12.29,18.99,2017,
SIX         ,SIX DEGREES - UNIVERSAL,6570361275,6.57036E+11,LADAMA,,LADAMA (LP),VINYL,1,19.49,29.99,2017,
SKA         ,SKARBO,DSK4176,3.37525E+12,"Tulliez, Nicolas; Perraud, Raphaël","Bloch, Ernest; Bruch, Max; Ravel, Maurice; Saint-Saëns, Camille; Schubert, Franz; Tedeschi, Luigi Maurizio; Tulliez, Nicolas",Harpeggione,COMPACT DISC,1,13.25,20.99,2017,"This album is, first of all, the fruit of an encounter, a few years ago, between two solo performers during concerts benefitting the city of Fukushima. In this place that has now become symbolic, the desire to share and disseminate a singular experience to as many people as possible materialized in this recording project. Based on the combination of harp and cello, starting with Schubert’s ‘Arpeggione’ Sonata, the programme places the emphasis on meditative pieces, both secular and sacred. However, they belong to different traditions, and the programme can also be listened to as a musical journey. Appointed principal cello of the Orchestre National de France in 2005, under the artistic direction of Kurt Masur at the time, Raphael Perraud has appeared as soloist with numerous orchestras including the Orchestre National de France, Mulhouse Symphony Orchestra, Prague Radio Symphony Orchestra and Josef Suk Chamber Orchestra. Winner of several international competitions, he won, in particular, the Prague Spring International Music Competition in 1994. Born and raised in Paris, Nicolas Tulliez holds a Bachelor of Music from the Julliard School, an Artist Diploma from the Royal Conservatory of Toronto, and a Master of Music from Yale University. His teachers include Pierre Jamet, Nancy Allen and Judy Loman. Winner of many competitions and scholarships, he has performed as a soloist all over Europea, the United States, Canada and Asia."
SKY         ,SKYLARK MUSIC,SKY1702,7.77584E+11,"Bernardi, Mario; CBC Radio Orchestra; Coop, Jane","Britten, Benjamin; Finzi, Gerald; Ireland, John; Rawsthorne, Alan",English Piano Concerti (Live),COMPACT DISC,1,13.25,20.99,2017,"Recordings and live performances of Britten’s Piano Concerto are indeed rare, and this one with Canada’s Jane Coop is a stunner! The inclusion of Alan Rawsthorne’s Piano Concerto is brilliant, and the two shorter pieces by John Ireland (Legend) and Gerald Finzi (Eclogue) are very welcome bonuses. Mario Bernardi leads North America’s only radio orchestra in these touching performances. Jane Coop has established herself as a musician of statre. Her intelligence and perception, together with her refined and heartfelt approach to music, make her a pianist whom audiences want to hear many times over. In December 2012, Jane Coop was appointed to the Order of Canada, the country’s highest honor for lifetime achievement."
SOL         ,SOLO MUSICA,SM268,4.26012E+12,"Huh, Seung-Yeun; Janke, Andreas; Greull, Mischa","Beethoven, Ludwig van; Brahms, Johannes; Schumann, Robert; Widmann, Jörg",From Beethoven to Present: The Sound of the Horn,COMPACT DISC,1,14.81,22.99,2017,"Mischa Greul feels connected to the Horn Trio by Johannes Brahms in many ways. As a little boy, he used to be quite at home in the Brahmshaus, which was Brahms’s place of residence in Ruschlikon at Lake Zurich in the summer of 1874. During his childhood, it was where his grandparents lived, and their pride in living in such a historic house was passed on to him. Before becoming a member of the Zurich Tonhalle Orchestra, he lived in Baden-Baden where Brahms composed his Opus 40, which has become a constant part of Mischa Greul’s repertoire. Beethoven’s Opus 17 sonata for piano and horn could be interpreted as the dialogue of a married couple. Schumann‘s Adagio and Allegro Opus 70 is all about the fusion of sound. For many horn players it is considered a unique jewel of the horn repertoire. The Air for solo horn by Jorg Widmann is Greul’s latest discovery, according to the composer a “piece of nature about closeness and distance”."
SOL         ,SOLO MUSICA,SM270,4.26012E+12,"Berger, Immanuel Jun; Berger, Julius","Bach, Johann Sebastian; Cage, John; Crüger, Johannes; Gerhardt, Paul; Luther, Martin; Vulpius, Melchior; Weisse, Michael",Bach & Cage: Choräle,COMPACT DISC,3,31.19,47.99,2017,"Julius Berger writes of his new release: ""Johann Sebastian Bach’s suites for cello solo are arguably the purest form of music, works that require no explanation or background knowledge. Johann Sebastian Bach made one of his most profound affirmations, a Gradus ad Parnassum, which in six stages sets out an intellectual and technical challenge that is and will probably remain peerless in the history of music for our instrument. My colleague and friend, Prof. Peter Langgartner from the Mozarteum University of Salzburg pointed out to me that the Prelude of the first suite contains Luther’s chorale “Vom Himmel hoch, da komm’ ich her” (from Heaven above, from thence I come). I had always presumed so and was grateful for confirmation that the cello suites make allusions to chorales and religious messages. I have therefore found a musical way of opening a spiritual door to the suites and added chorales to Suites 1, 3, and 5 in the mould of sounds from John Cage’s work One 8, chorales that in my opinion are definitely consistent with messages conveyed in the suites. I find that John Cage’s music shares similarities with Bach’s. His music allows for inner reflection, providing a contemplative point of calm. Cage said the purpose of music is “to cleanse the soul and bring it peace, thus making it amenable to divine influences”. My son Immanuel intones the chorales to this special music; each chorale is followed by two Bach suites."""
SOM         ,SOMM RECORDINGS,SOMMCD 0173,7.48871E+11,"Meecham, Nicola","Tchaikovsky, Pyotr Ilyich",Tchaikovsky: Piano Music,COMPACT DISC,1,14.81,22.99,2017,"“No praise could be high enough for such an adventurous and challenging programme, particularly when offered in such vivid and affectionate performances. Enescu’s Third Sonata is a wholly personal creation, played by Nicola Meecham with brilliant dexterity and musical devotion.” (Bryce Morrison, Gramophone) This is just one of the superlative reviews which greeted Nicola Meecham’s album for SOMM of works by Kodaly, Enescu and Janacek. We now welcome her back in a fabulous recital of piano music by Tchaikovsky which includes the two rarely performed or recorded Piano Sonatas. The large-scale, majestic Grande Sonate in G major Op. 37, Tchaikovsky’s most significant work for solo piano, and the earlier Sonata in C sharp minor of 1865. The G major sonata was published during Tchaikovsky’s lifetime, having been written in 1878. The work opens with a magnificent chordal gesture and an initial richly inventive theme, which is threaded through and across all four movements. In both sonatas, Tchaikovsky is in total command of his chosen structure and develops his ideas with great originality and ease. The effective keyboard writing apparent in both works betokens a composer thoroughly at home in the medium. The present release includes four of Tchaikovsky’s shorter solo pieces, the Nocturne and Feuillet d’album, Opus 19 and the Humoresque Op. 10 No. 2, all of which strengthened his reputation as a distinctive composer of solo piano pieces. The delightful Doumka in C minor paints a picture akin to a rustic Russian scene and is one of the finest of all of Tchaikovsky’s shorter solo piano works."
SOM         ,SOMM RECORDINGS,SOMMCD 0174,7.48871E+11,"Marchant, Maria","Britten, Benjamin; Holst, Gustav; Ireland, John; Lasker, Vally; Leighton, Kenneth; Stevenson, Ronald; Williams, Roderick",Echoes of Land & Sea,COMPACT DISC,1,14.81,22.99,2017,"This cleverly planned new recital represents a uniquely valuable addition to the catalogue and focuses attention on English piano music which is less well known but no less delectable. Our programme ranges from some of the most famous names in music to those best-known in other areas of the art - and has been carefully chosen to present a uniquely fascinating conspectus of piano music by British composers of the last 100 years. There are such rarities as Benjamin Britten's brilliant early suite 'Holiday Diary', the great composer in lighter mood, and the magnificent virtuoso set of Six Studies for Piano by Kenneth Leighton, alongside a rare collection of Impressionist pieces by Gustav Holst - showing him to be as much a master of the keyboard as his 'Planets' suite is of the orchestra. John Ireland (Britten's teacher) is represented by his haunting Ballade of London Nights, and we have a significant premiere recording of Ireland's most famous song - Sea Fever - arranged for solo piano by Roderick Williams, best-known as one of the finest of all living British singers, now appearing on disc in a new light. Both the world premiere Goodwood-by-the-Sea and the piano arrangement of Sea Fever were written by Roderick Williams especially for Maria Marchant and dedicated to her. Ronald Stevenson's 'Peter Grimes Fantasy' takes us back to Benjamin Britten - a wonderful homage from one major British composer to another."
DOR         ,SONO LUMINUS,SLE-70010,53479701022,"Narroway, Richard","Bach, Johann Sebastian","Bach: 6 Cello Suites, BWV 1007-1012",COMPACT DISC,2,13.25,20.99,2017,"Bach’s Six Cello Suites There are a few iconic works in the core repertory with a special quality that makes them instantly recognizable, even after hearing just a few notes. The first G major Cello Suite is one of them. I like to think of the opening measures as a kind of entrance into the sound world of the cello; the open strings lift our spirits, resonating with the quintessential voice and depth of sonority we all know and love. It is so simple in its design, but so far-reaching in its vision, almost as if Bach is on a quest to discover the true potential of this instrument that has for too long been left in the background. As such, a feeling of birth and youthful discovery permeates the mood of this opening suite—a blissful disregard of any trials to come. And yet at the same time one gets the sensation that this is just the beginning of a larger journey. Richard’s Approach: “For this recording, I use a modern setup: specifically a 1930 Carl Becker cello made in Chicago, and a modern bow. I admit that such a setup is quite far off from the sound world that Bach must have imagined when composing these suites. I have done my best, however, to balance this modern setup with a thorough understanding of Baroque stylistic principles, particularly in regard to sound production, bow strokes, vibrato, slurring, voicing, and ornaments. I think nowadays, our performance decisions tend to be too black and white; one either performs with total commitment to historical performance practice (by using gut strings, a baroque bow, lower tuning and no endpin) or one forgets all about it. I don’t think it is so simple! There is plenty of room, I think, to combine an understanding of historical stylistic principles with current trends in modern performance practice. It is by no means as simple as choosing one way or the other. I think ultimately, regardless of what kind of setup one uses, how much one vibrates and so on, the most important thing is that the spirit of the music comes to life, which is often more a matter of phrasing, sound, character, tempo and attention to harmony, than of specific issues of Baroque tuning and style. The very fact that Bach’s suites can still reveal their secrets through so many varied approaches is a testament to the genius of this music. This is not to say that one should disregard any helpful musicological research that sheds light on performing traditions of the time. On the contrary, I think this is absolutely essential! There is nothing wrong with informing ourselves if the goal is to become more convincing, thoughtful artists. The information is there; why ignore it? At any rate, this kind of knowledge should not be confining. Rather, it should liberate us, for it offers an opportunity to open our minds and creative palettes to more colors and possibilities.” Recognized for his stylistic versatility and wide-ranging musical interests, Australian cellist Richard Narroway has proven himself to be equally at home with repertoire both new and old. He has appeared as a soloist with the Grand Rapids Symphony and the HanZhou Philharmonic Orchestra, and in recital on Chicago’s WFMT Dame Myra Hess Series and the Keys to the City Piano Festival at Chicago’s Symphony Center. In addition he has given performances in Australia, China, Germany, Canada and the United States, in prestigious venues such as the Kennedy Center, Chicago Symphony Center, Preston Bradley Hall and the Sydney Opera House."
SMEL        ,SONY LEGACY,88985404812,8.89854E+11,CAROLE KING,,TAPESTRY: LIVE HYDE PARK,COMPACT DISC + DVD,2,0,0,2017,
SMEL        ,SONY LEGACY,88985447871,8.89854E+11,JIMI HENDRIX,,EXPERIENCE HENDRIX,VINYL,2,0,0,2017,
SMEL        ,SONY LEGACY,88985451772,8.89855E+11,CELTIC THUNDER,,INSPIRATIONAL,COMPACT DISC,1,0,0,2017,
SMEL        ,SONY LEGACY,88985460582,8.89855E+11,WYCLEF JEAN,,CARNIVAL III,COMPACT DISC,1,0,0,2017,
SMEL        ,SONY LEGACY,88985462351,8.89855E+11,WYCLEF JEAN,,CARNIVAL III (LP),VINYL,1,0,0,2017,
SMEL        ,SONY LEGACY,88985463731,8.89855E+11,VARIOUS,,NOW THAT'S WHAT I CALL HALLOWE,VINYL,2,0,0,2017,
SMEL        ,SONY LEGACY,88985466802,8.89855E+11,CAROLE KING,,TAPESTRY: LIVE HYDE PARK,BLURAY + CD,2,0,0,2017,
SMEL        ,SONY LEGACY,88985479742,8.89855E+11,KEYON HARROLD,,THE MUGICIAN,COMPACT DISC,1,0,0,2017,
SMEB        ,SONY MASTERWORKS BROADWAY,88985383482,8.89854E+11,"ORIGINAL CAST OF SPONGEBOB SQUAREPANTS, THE NEW MUSICAL",,SPONGEBOB SQUAREPANTS MUSICAL,COMPACT DISC,1,0,0,2017,
SME1        ,SONY MUSIC ENTERTAINMENT,88725431682,8.87254E+11,SEQUENTIA,"VON BINGEN, HILDEGARD",HILDEGARD VON BINGEN EDITION,COMPACT DISC,9,0,0,2017,"The first ever collection of the complete works by Hildegard von Bingen recorded by Sequentia, in a specially designed Deluxe Edition in shape of a “Graduale” book. 9 CD-set including 152 page standalone book with complete texts and translations. The Sequentia recrdings of Hildegard’s works are contained on 8 releases (more than eleven hours of music) for the DHM label and include all of Hildegard’s 77 symphoniae as well as her music drama Ordo Virtutum (recorded twice, with an interval of 15 years between the two radically different productions). The accompanying booklets are considered models of research and total almost 400 pages. One of these releases, Canticles of Ecstasy, received several international awards (including an Edison Prize, a Disque d’Or, and a Grammy nomination for best choral recording) and has sold more than a million copies worldwide. In 2009 an anthology was released, containing exceptional tracks from six of Sequentia’s Hildegard recordings on DHM. In 2012 the final recording of the complete works, Celestial Hierarchy, was brought to life by Sequentia’s co-founder and director Benjamin Bagby, to commemorate the elevation of Hildegard von Bingen to Sainthood and Doctor Ecclesiae (2011), to finish Sequentia’s complete works project on the DHM/Sony label and thus to honor the life’s work of Barbara Thornton. For this recording, a multi-generational ensemble of seven women’s voices was assembled under Bagby’s direction, together with the flautist Norbert Rodenkirchen and Bagby playing harp. One of the singers on this final recording had been a member of Barbara Thornton’s ensemble, while some others were not yet born when the first recording was made in 1982."
SME         ,SONY MUSIC ENTERTAINMENT,88843014882,8.8843E+11,GLENN GOULD,"BACH, JOHANN SEBASTIAN",GOLDBERG VARIATIONS JUNE 1955,COMPACT DISC,8,0,0,2017,
SME2        ,SONY MUSIC ENTERTAINMENT,88985352232,8.89854E+11,PERETYATKO  URAL PHILHARMONIC ORCHESTRA  LISS,GLINKA  RACHMANINOFF,RUSSIAN LIGHT,COMPACT DISC,1,0,0,2017,"From Mozart to Rossini, from Bellini and Donizetti to Verdi, the soprano Olga Peretyatko has proven her versatility on the world's great opera stages and on studio recordings. Her Rossini recital was awarded an Echo Klassik Prize in 2016. Now she turns to the Russian repertoire with her fourth album for Sony Classical: Russian Light. Here the St Petersburg soprano sings opera arias by the leading Russian composers Mikhail Glinka, Nikolai Rimsky-Korsakov, Igor Stravinsky and Dmitri Shostakovich. Rounding off the programme is a selection of orchestral songs by Sergey Rachmaninoff, including the famously mellifluous Vocalise. She is accompanied on this, her first purely Russian album, by the Ural Philharmonic under the baton of Dmitry Liss."
SME         ,SONY MUSIC ENTERTAINMENT,88985390762,8.89854E+11,Jonas Kaufmann,Various,L’Opéra,COMPACT DISC,1,0,0,2017,"The world’s greatest tenor, Jonas Kaufmann, returns to the opera world for his latest recording, L’Opéra. The album features a selection of the greatest arias and duets from the best of the 19th century French opera composers. Kaufmann presents an album of music that embodies the flair, opulence, mystique and timeless elegance of Paris and French culture – opera at its greatest moment. L’Opéra includes tenor hits such as Massenet’s “Pourquoi me reveiller”, Bizet’s big aria from Carmen “La fleur que tu m’avais jetée” and his famous tenor-baritone duet from The Pearl Fishers “Au fond de temple saint”, as well as Roméo’s big number “L’amour, l’amour…ah lève toi soleil” composed by Gounod, and Offenbach’s timeless aria for Hoffmann “O Dieu, De quelle ivresse.” Jonas is joined in the studio by The Bavarian State Orchestra, the magnificent orchestra resident at the Bavarian State Opera in Munich, and French conductor Bertrand de Billy who bring his innate French flair to the recording. The album also features guest vocalists soprano Sonya Yoncheva and baritone Ludovic Tézier. "
SME         ,SONY MUSIC ENTERTAINMENT,88985390832,8.89854E+11,Jonas Kaufmann,Various,L’Opéra,COMPACT DISC,1,0,0,2017,"The world’s greatest tenor, Jonas Kaufmann, returns to the opera world for his latest recording, L’Opéra. The album features a selection of the greatest arias and duets from the best of the 19th century French opera composers. Kaufmann presents an album of music that embodies the flair, opulence, mystique and timeless elegance of Paris and French culture – opera at its greatest moment. L’Opéra includes tenor hits such as Massenet’s “Pourquoi me reveiller”, Bizet’s big aria from Carmen “La fleur que tu m’avais jetée” and his famous tenor-baritone duet from The Pearl Fishers “Au fond de temple saint”, as well as Roméo’s big number “L’amour, l’amour…ah lève toi soleil” composed by Gounod, and Offenbach’s timeless aria for Hoffmann “O Dieu, De quelle ivresse.” Jonas is joined in the studio by The Bavarian State Orchestra, the magnificent orchestra resident at the Bavarian State Opera in Munich, and French conductor Bertrand de Billy who bring his innate French flair to the recording. The album also features guest vocalists soprano Sonya Yoncheva and baritone Ludovic Tézier. The Deluxe Edition is in a digi-pack and includes a full-color booklet and two essays, one with Jonas’ personal reflections on the music and the second on the historical importance of Paris and the opera during the19th century."
SME2        ,SONY MUSIC ENTERTAINMENT,88985395492,8.89854E+11,PAUL BADURA-SKODA,"SCHUBERT, FRANZ",COMPLETE PIANO SONATAS,COMPACT DISC,12,0,0,2017,"Paul Badura-Skoda is unquestionably the outstanding Schubert pianist of the 20th century, declared the Leipzig Volkszeitung in 2012. An astute interpreter, a sensuous singer on the keyboard, one who plumbs the notes fully yet treats each one with love and intelligent solicitude. Coinciding with the pianists 90th birthday later this year, Sony Classical is pleased to announce the first CD release of Badura-Skodas complete recording of the Schubert sonatas, an LP collectors item ever since its original publication in 1971. Born on 6 October 1927 in Vienna, Paul Badura-Skoda studied there at the Conservatory and later with the legendary pianist Edwin Fischer in Switzerland. In 1949, the still-unknown young artist was engaged as soloist by both Wilhelm Furtwängler and Herbert von Karajan for their concerts in Vienna. His international breakthrough came in 1950 when he substituted on short notice for his ailing mentor, Edwin Fischer. That same year he began recording for the new vinyl LP medium. Three years later, when he made his New York debut, American music lovers still knew Badura-Skoda only from his records; yet the recital attracted a capacity audience. Encouraged by the Vienna-born RCA Victor executive George Marek, Badura-Skoda recorded all of Franz Schuberts sonatas including his own completions of several works left unfinished by the composer between May 1967 and May 1971. A few of the sessions (which were produced by the incomparable Max Wilcox) took place in New York at RCA Recording Studio A, but most were held in the Vienna studios of Westminster Records president James Grayson. Badura-Skoda then was playing on a modern grand piano. In the 1990s, this ever-enterprising artist whose remarkable recording career continues to this day would remake the Schubert cycle using his own fortepianos. When RCA released the complete set of sonatas on 13 LPs at the end of 1971, the Gramophone reviewer showered Badura-Skodas interpretations with praise: As a fellow Viennese he has the style in his blood and loves the music. Nothing is over-driven or inflated. Schubert for him is no would-be Beethoven: he conveys the musics relaxed lyricism, its basic simplicity, emphasizing romantic dreams more than the stern, classical sonata heritage. Now this very special set is available again, newly remastered from the original analogue masters for its first CD appearance as a 12-disc box. Paul Badura-Skodas Schubert is a must-have for lovers of great piano music, performed with the utmost love and understanding."
